protocol,image_count,threshold,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1_score,accepted_image_count,uncertain_image_count,coverage,uncertain_rate,accepted_accuracy,accepted_precision,accepted_recall,accepted_f1_score,uncertain_error_rate
unseen,6874,0.53,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,6762,112,0.9837067209775967,0.016293279022403257,0.9086069210292813,0.8979384927340318,0.8937100571812984,0.8958192852326365,0.4375
unseen,6874,0.54,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,6716,158,0.9770148385219668,0.02298516147803317,0.9112567004169149,0.9009530292716134,0.896680216802168,0.8988115449915111,0.44936708860759494
unseen,6874,0.55,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,6665,209,0.9695955775385511,0.03040442246144894,0.9153788447111778,0.9046639231824417,0.9021887824897401,0.9034246575342466,0.49282296650717705
unseen,6874,0.56,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,6627,247,0.9640675007273786,0.035932499272621474,0.9174588803380112,0.9072985126253892,0.9038594073053067,0.9055756948040738,0.48582995951417
unseen,6874,0.57,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,6574,300,0.9563572883328484,0.043642711667151585,0.919835716458777,0.9084580577793248,0.9081419624217119,0.9082999825996172,0.4666666666666667
unseen,6874,0.58,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,6539,335,0.9512656386383473,0.0487343613616526,0.9210888515063466,0.9091861683548725,0.9104582021685904,0.9098217406501223,0.4507462686567164
unseen,6874,0.59,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,6507,367,0.9466104160605179,0.05338958393948211,0.9226986322422007,0.9111969111969112,0.9121574139142656,0.9116769095697981,0.44686648501362397
unseen,6874,0.6,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,6469,405,0.9410823392493454,0.05891766075065464,0.9256453856855774,0.9142252029650547,0.9158415841584159,0.9150326797385621,0.45925925925925926
unseen,6874,0.61,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,6435,439,0.9361361652604016,0.06386383473959849,0.9286713286713286,0.9169329073482428,0.9198717948717948,0.9184,0.47380410022779046
unseen,6874,0.62,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,6400,474,0.9310445155659005,0.0689554844340995,0.92984375,0.9179450588655013,0.9215616045845272,0.9197497765862377,0.459915611814346
unseen,6874,0.63,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,6373,501,0.9271166715158569,0.07288332848414315,0.9311156441236467,0.9197420279469725,0.9227174694464414,0.9212273461331419,0.4550898203592814
unseen,6874,0.64,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,6329,545,0.9207157404713413,0.07928425952865871,0.9325327855901406,0.9221341023792358,0.9237992054893464,0.9229659029406458,0.44036697247706424
unseen,6874,0.65,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,6295,579,0.9157695664823975,0.08423043351760257,0.9334392374900715,0.9232162260050706,0.9248911465892597,0.9240529273155701,0.4283246977547496
unseen,6874,0.66,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,6255,619,0.9099505382601105,0.09004946173988944,0.9350919264588329,0.926047358834244,0.926047358834244,0.926047358834244,0.42164781906300486
unseen,6874,0.67,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,6230,644,0.9063136456211812,0.09368635437881874,0.9357945425361156,0.9269272926561929,0.9269272926561929,0.9269272926561929,0.41459627329192544
unseen,6874,0.68,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,6183,691,0.8994762874599942,0.10052371254000582,0.9385411612485848,0.9298567756151304,0.9305402425578831,0.9301983835415136,0.4153400868306802
unseen,6874,0.69,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,6144,730,0.8938027349432645,0.10619726505673553,0.9402669270833334,0.931047197640118,0.933456561922366,0.9322503230570427,0.410958904109589
unseen,6874,0.7,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,6114,760,0.8894384637765493,0.11056153622345069,0.9419365390906117,0.9329877823028508,0.9354120267260579,0.9341983317886933,0.4105263157894737
unseen,6874,0.71,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,6089,785,0.88580157113762,0.11419842886237998,0.9431762194120545,0.9346938775510204,0.9367794719226479,0.9357355126300149,0.4089171974522293
unseen,6874,0.72,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,6043,831,0.8791096886819901,0.1208903113180099,0.9440675161343703,0.9357969391564016,0.937897493453049,0.9368460388639761,0.39590854392298436
unseen,6874,0.73,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,5990,884,0.87139947628746,0.12860052371254,0.9455759599332221,0.9389600602863603,0.9382530120481928,0.9386064030131827,0.38574660633484165
unseen,6874,0.74,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,5937,937,0.8636892638929299,0.13631073610707012,0.9469429004547751,0.9422492401215805,0.9383276579644344,0.9402843601895735,0.37566702241195304
unseen,6874,0.75,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,5884,990,0.8559790514983998,0.14402094850160024,0.9485044187627464,0.9447640966628308,0.9393592677345538,0.9420539300057372,0.36767676767676766
unseen,6874,0.76,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,5835,1039,0.8488507419260983,0.15114925807390167,0.9497857754927164,0.9463941380640185,0.9409509202453987,0.943664679869256,0.3599615014436959
unseen,6874,0.77,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,5785,1089,0.8415769566482397,0.15842304335176025,0.9519446845289542,0.9475524475524476,0.9446165762974439,0.9460822342901474,0.35720844811753905
unseen,6874,0.78,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,5733,1141,0.8340122199592668,0.1659877800407332,0.9537763823478109,0.9510188087774295,0.9454616283599533,0.9482320765774566,0.3523225241016652
unseen,6874,0.79,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,5682,1192,0.826592958975851,0.17340704102414897,0.9542414642731433,0.9513449367088608,0.9461054287962234,0.9487179487179487,0.3414429530201342
unseen,6874,0.8,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,5622,1252,0.8178644166424207,0.1821355833575793,0.9567769477054429,0.9529505582137161,0.9502982107355865,0.9516225363328688,0.33865814696485624
