protocol,image_count,threshold,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1_score,accepted_image_count,uncertain_image_count,coverage,uncertain_rate,mean_distance,median_distance,accepted_accuracy,accepted_precision,accepted_recall,accepted_f1_score,uncertain_error_rate
standard,10725,5.527623,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,6649,4076,0.61995337995338,0.38004662004662004,5.500676155090332,4.927595138549805,0.8954730034591668,0.9137184115523466,0.8473384666889856,0.879277401424353,0.1077036310107949
standard,10725,5.584588,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,6757,3968,0.63002331002331,0.36997668997669,5.500676155090332,4.927595138549805,0.8937398253662868,0.9132290184921764,0.8441814595660749,0.8773488213187564,0.10483870967741936
standard,10725,5.653929,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,6864,3861,0.64,0.36,5.500676155090332,4.927595138549805,0.8927738927738927,0.9116002795248078,0.8437904269081501,0.8763856231105139,0.10308210308210308
standard,10725,5.707019,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,6971,3754,0.64997668997669,0.35002331002331,5.500676155090332,4.927595138549805,0.8924114187347583,0.9111876075731498,0.843262185409366,0.8759099933818663,0.10229088971763452
standard,10725,5.758411,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,7078,3647,0.65995337995338,0.34004662004662006,5.500676155090332,4.927595138549805,0.8914947725346143,0.910199932226364,0.8422703041705863,0.8749185667752443,0.10035645736221552
standard,10725,5.822518,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,7186,3539,0.6700233100233101,0.32997668997669,5.500676155090332,4.927595138549805,0.8906206512663513,0.9082415749082415,0.8419424682957006,0.8738362760834671,0.09833286239050579
standard,10725,5.884311,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,7293,3432,0.68,0.32,5.500676155090332,4.927595138549805,0.889894419306184,0.9083743842364532,0.8407294832826747,0.8732438831886346,0.09644522144522144
standard,10725,5.951565,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,7400,3325,0.6899766899766899,0.31002331002331,5.500676155090332,4.927595138549805,0.8885135135135135,0.9084438692979618,0.8382089552238806,0.871914299021891,0.09293233082706767
standard,10725,6.005591,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,7507,3218,0.6999533799533799,0.30004662004662,5.500676155090332,4.927595138549805,0.8878380178500067,0.9077608142493638,0.8379330593071052,0.8714503816793893,0.09073958980733375
standard,10725,6.092128,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,7615,3110,0.71002331002331,0.28997668997668996,5.500676155090332,4.927595138549805,0.8875902823374918,0.9076682316118936,0.8379081190407397,0.8713942307692307,0.08938906752411575
standard,10725,6.17135,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,7722,3003,0.72,0.28,5.500676155090332,4.927595138549805,0.8874643874643875,0.9080282989849278,0.838160136286201,0.8716964417540233,0.08824508824508824
standard,10725,6.27173,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,7829,2896,0.72997668997669,0.27002331002331004,5.500676155090332,4.927595138549805,0.8865755524332609,0.907850863898151,0.8368259290304554,0.8708927013666764,0.08494475138121547
standard,10725,6.368968,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,7936,2789,0.73995337995338,0.26004662004662005,5.500676155090332,4.927595138549805,0.8870967741935484,0.909036683566955,0.8375927452596867,0.8718535469107551,0.0853352456077447
standard,10725,6.456649,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,8043,2682,0.7499300699300699,0.25006993006993006,5.500676155090332,4.927595138549805,0.887106800944921,0.9089306698002351,0.8380281690140845,0.8720405862457723,0.0842654735272185
standard,10725,6.540107,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,8151,2574,0.76,0.24,5.500676155090332,4.927595138549805,0.8874984664458349,0.9095914227760069,0.8384081196581197,0.8725503822098679,0.0843045843045843
standard,10725,6.629691,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,8258,2467,0.76997668997669,0.23002331002331003,5.500676155090332,4.927595138549805,0.8876241220634536,0.9093242087254063,0.8394314293235062,0.8729811114152751,0.08350222942845562
