protocol,image_count,confidence_threshold,distance_threshold,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1_score,accepted_image_count,uncertain_image_count,coverage,uncertain_rate,mean_confidence,mean_distance,accepted_accuracy,accepted_precision,accepted_recall,accepted_f1_score,uncertain_error_rate
standard,10725,0.51,4.598474,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,4501,6224,0.41967365967365966,0.5803263403263403,0.8692758679389954,5.500675201416016,0.9222395023328149,0.9310344827586207,0.8670422535211267,0.8978996499416569,0.12596401028277635
standard,10725,0.51,4.675404,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,4713,6012,0.43944055944055943,0.5605594405594405,0.8692758679389954,5.500675201416016,0.9195841290048801,0.9290657439446367,0.8628816282806642,0.8947514579283532,0.12558216899534264
standard,10725,0.51,4.754521,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,4928,5797,0.4594871794871795,0.5405128205128205,0.8692758679389954,5.500675201416016,0.916599025974026,0.9257236482796286,0.8604060913705583,0.8918705603788477,0.12471968259444541
standard,10725,0.51,4.840532,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,5138,5587,0.47906759906759905,0.5209324009324009,0.8692758679389954,5.500675201416016,0.9143635655897236,0.922677737415672,0.8593523441275979,0.8898898898898899,0.12421693216395203
standard,10725,0.51,4.927595,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,5352,5373,0.499020979020979,0.500979020979021,0.8692758679389954,5.500675201416016,0.9099402092675636,0.9223205506391348,0.8527272727272728,0.8861596598960794,0.12134747813139773
standard,10725,0.51,5.017255,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,5565,5160,0.5188811188811189,0.4811188811188811,0.8692758679389954,5.500675201416016,0.9096136567834681,0.922613531047266,0.8556080790717662,0.8878483835005574,0.12228682170542636
standard,10725,0.51,5.108456,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,5774,4951,0.5383682983682984,0.46163170163170164,0.8692758679389954,5.500675201416016,0.9057845514374784,0.919631093544137,0.8529531568228106,0.8850380388841927,0.11916784487982225
standard,10725,0.51,5.207502,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,5985,4740,0.558041958041958,0.44195804195804195,0.8692758679389954,5.500675201416016,0.9029239766081871,0.9161129568106312,0.853384912959381,0.8836370919287002,0.11666666666666667
standard,10725,0.51,5.309759,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,6196,4529,0.5777156177156177,0.4222843822843823,0.8692758679389954,5.500675201416016,0.9007424144609425,0.9157057654075547,0.8510716925351072,0.8822064738555833,0.11459483329653346
standard,10725,0.51,5.424897,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,6407,4318,0.5973892773892774,0.4026107226107226,0.8692758679389954,5.500675201416016,0.8979241454658967,0.9153378891419893,0.8483462350457425,0.8805697589481373,0.111162575266327
standard,10725,0.51,5.527624,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,6612,4113,0.6165034965034965,0.3834965034965035,0.8692758679389954,5.500675201416016,0.897005444646098,0.9161502005103901,0.8478407557354926,0.8806728578938147,0.11013858497447118
standard,10725,0.51,5.653929,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,6821,3904,0.6359906759906759,0.364009324009324,0.8692758679389954,5.500675201416016,0.8944436299662806,0.9138418079096046,0.8446475195822454,0.8778833107191316,0.10604508196721311
standard,10725,0.51,5.758411,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,7026,3699,0.6551048951048951,0.3448951048951049,0.8692758679389954,5.500675201416016,0.8936806148590948,0.9132670551936921,0.8435718809373021,0.8770370370370371,0.10462287104622871
standard,10725,0.51,5.884311,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,7234,3491,0.6744988344988345,0.3255011655011655,0.8692758679389954,5.500675201416016,0.892175836328449,0.9115985377201729,0.84218606079214,0.8755186721991701,0.1014036092810083
